# Experimental Run Sat Feb 09 18:21:42 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average Bits Degenerate Substring (ABDS),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Polyclonal Response Error (APRE),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","31.57280000000001","31.57280000000001","NaN","0.3208213751122593","8.231545835199573E-4","score[8.231545835199573E-4]","0.020854837270492095","724.0","7.625957101112874E-4","84.38000000000001","0.0020854837270492094","72.4","1000","-1","1000","Epoch=1000,Best=0.0020854837270492094,Worst=0.0020854837270492094,Mean=0.0020854837270492094,Stdev=0.0.","38703","Best=8.231545835199573E-4,Worst=0.007912557727082223,Mean=0.002624988458072519,Stdev=0.001208421030724867."
"NaN","85.58","NaN","31.74619999999999","31.74619999999999","NaN","0.3060024399469026","0.0016464816576670267","score[0.0016464816576670267]","0.025068553592228492","761.0","0.001097055587191433","88.16","0.002506855359222849","76.1","1000","-1","1000","Epoch=1000,Best=0.002506855359222849,Worst=0.002506855359222849,Mean=0.002506855359222849,Stdev=0.0.","38578","Best=0.0016464816576670267,Worst=0.008700788819583121,Mean=0.003723311443327602,Stdev=0.0013623905388154157."
"NaN","86.64","NaN","31.666000000000007","31.666000000000007","NaN","0.33674020069617444","0.002102025615190519","score[0.002102025615190519]","0.04392788576411801","834.0","0.0016043134650418505","85.19999999999999","0.004392788576411801","83.4","1000","-1","1000","Epoch=1000,Best=0.004392788576411801,Worst=0.004392788576411801,Mean=0.004392788576411801,Stdev=0.0.","38516","Best=0.002102025615190519,Worst=0.015533053413616719,Mean=0.004852802286521608,Stdev=0.0015470145415147447."
"NaN","85.86","NaN","31.6296","31.6296","NaN","0.3301343423958444","0.0012380638016376926","score[0.0012380638016376926]","0.021581163585366537","788.0","8.314225144504769E-4","85.78","0.0021581163585366538","78.8","1000","-1","1000","Epoch=1000,Best=0.0021581163585366538,Worst=0.0021581163585366538,Mean=0.0021581163585366538,Stdev=0.0.","38500","Best=0.0012380638016376926,Worst=0.010486778495408276,Mean=0.002888927662126611,Stdev=0.0017117369153437606."
"NaN","84.9","NaN","31.588399999999996","31.588399999999996","NaN","0.3292438421554113","0.0014907335901783159","score[0.0014907335901783159]","0.03482038252076646","824.0","0.0012368108423204643","86.66000000000001","0.0034820382520766462","82.4","1000","-1","1000","Epoch=1000,Best=0.0034820382520766462,Worst=0.0034820382520766462,Mean=0.0034820382520766462,Stdev=0.0.","38453","Best=0.0014907335901783159,Worst=0.009600971146314774,Mean=0.0032711389229167697,Stdev=0.0011580068012871357."
"NaN","86.5","NaN","31.59300000000001","31.59300000000001","NaN","0.31845807459553854","0.001602051400561758","score[0.001602051400561758]","0.022154866228292314","774.0","9.281062271116192E-4","88.22","0.0022154866228292313","77.4","1000","-1","1000","Epoch=1000,Best=0.0022154866228292313,Worst=0.0022154866228292313,Mean=0.0022154866228292313,Stdev=0.0.","38422","Best=0.001602051400561758,Worst=0.008808115556692855,Mean=0.0032857956783024743,Stdev=0.0014008113349652151."
"NaN","85.46000000000001","NaN","31.622000000000003","31.622000000000003","NaN","0.35260040340784526","0.001123379919069138","score[0.001123379919069138]","0.02313931660868982","752.0","8.48123607321643E-4","87.46000000000001","0.002313931660868982","75.2","1000","-1","1000","Epoch=1000,Best=0.002313931660868982,Worst=0.002313931660868982,Mean=0.002313931660868982,Stdev=0.0.","38485","Best=0.001123379919069138,Worst=0.008551697477545401,Mean=0.0031355311545835625,Stdev=0.0011237982617215262."
"NaN","86.7","NaN","31.6468","31.6468","NaN","0.3282973370614858","0.002044827256819592","score[0.002044827256819592]","0.044374037626515345","784.0","0.001720017215176561","85.74","0.004437403762651534","78.4","1000","-1","1000","Epoch=1000,Best=0.004437403762651534,Worst=0.004437403762651534,Mean=0.004437403762651534,Stdev=0.0.","38468","Best=0.002044827256819592,Worst=0.01290625200740122,Mean=0.004187532993821873,Stdev=0.0014703566726569682."
"NaN","86.64000000000001","NaN","31.608599999999996","31.608599999999996","NaN","0.29801590637589775","0.002055718055398687","score[0.002055718055398687]","0.03346594336963204","784.0","0.001322550581609915","85.72","0.003346594336963204","78.4","1000","-1","1000","Epoch=1000,Best=0.003346594336963204,Worst=0.003346594336963204,Mean=0.003346594336963204,Stdev=0.0.","38422","Best=0.002055718055398687,Worst=0.008716882747718348,Mean=0.003837606956391445,Stdev=0.0010401988974507337."
"NaN","85.58","NaN","31.625399999999996","31.625399999999996","NaN","0.33009066740431264","0.0013010654881945262","score[0.0013010654881945262]","0.030654744475084702","750.0","0.0010800105755618523","85.34","0.0030654744475084703","75.0","1000","-1","1000","Epoch=1000,Best=0.0030654744475084703,Worst=0.0030654744475084703,Mean=0.0030654744475084703,Stdev=0.0.","38500","Best=0.0013010654881945262,Worst=0.01624430591943988,Mean=0.004703970028633839,Stdev=0.0020354736428428205."
"NaN","86.38000000000002","NaN","31.587600000000002","31.587600000000002","NaN","0.3294507109795567","0.001091370395242527","score[0.001091370395242527]","0.012678503886345628","780.0","4.970297149510382E-4","84.58000000000001","0.0012678503886345627","78.0","1000","-1","1000","Epoch=1000,Best=0.0012678503886345627,Worst=0.0012678503886345627,Mean=0.0012678503886345627,Stdev=0.0.","38516","Best=0.001091370395242527,Worst=0.011504214925379772,Mean=0.0033442191431375364,Stdev=0.002027474292211735."
"NaN","87.57999999999998","NaN","31.6968","31.6968","NaN","0.3447577010220813","9.642455682179439E-4","score[9.642455682179439E-4]","0.009642455682179439","774.0","3.751051175550959E-4","85.89999999999999","9.642455682179439E-4","77.4","1000","-1","1000","Epoch=1000,Best=9.642455682179439E-4,Worst=9.642455682179439E-4,Mean=9.642455682179439E-4,Stdev=0.0.","38453","Best=9.642455682179439E-4,Worst=0.013286039293614035,Mean=0.0028742450922931463,Stdev=0.0026425336715264645."
"NaN","86.28","NaN","31.64179999999999","31.64179999999999","NaN","0.3409880650800138","0.001435684670807473","score[0.001435684670807473]","0.021542621758909405","774.0","8.415962743989981E-4","85.99999999999999","0.0021542621758909404","77.4","1000","-1","1000","Epoch=1000,Best=0.0021542621758909404,Worst=0.0021542621758909404,Mean=0.0021542621758909404,Stdev=0.0.","38516","Best=0.001435684670807473,Worst=0.010177824170506706,Mean=0.003277613819292279,Stdev=0.0011642473794301986."
