"Problem","Algorithm","Host Diversity (HD)","Host Diversity (HD)","Host Error (HE)","Host Error (HE)","Average Tissue Diversity (ATD)","Average Tissue Diversity (ATD)","Average Tissue Error (ATE)","Average Tissue Error (ATE)"
"ICSP-10","MTCSA_ATER","1,610.68","78.407","0.013","0.006","85.903","0.92","0.155","0.011"
"ICSP-10","RTCSA_SML_ATER","733.841","57.614","0.131","0.021","78.82","2.812","0.148","0.017"
"ICSP-10","ITCSA_NON_ATER","1,885.641","81.789","0.014","0.007","86.034","0.846","0.149","0.01"
"ICSP-10","ITCSA_SML_ATER","800.373","70.917","0.122","0.027","80.34","3.392","0.138","0.019"
"Significant","-","True","-","True","-","True, False for MTCSA_ATER and ITCSA_NON_ATER","-","True","-"
"ICSP-10","MTCSA_OTER","1,708.992","89.685","0.033","0.01","84.394","1.151","0.152","0.01"
"ICSP-10","RTCSA_SML_OTER","690.006","51.553","0.122","0.022","78.947","4.497","0.137","0.021"
"ICSP-10","ITCSA_NON_OTER","4,298.845","145.475","0.061","0.026","36.523","5.666","0.223","0.015"
"ICSP-10","ITCSA_SML_OTER","977.768","151.773","0.125","0.022","58.817","11.181","0.16","0.027"
"Significant","-","True","-","True, False for RTCSA_SML_OTER and ITCSA_SML_OTER","-","True","-","True, False for MTCSA_OTER and ITCSA_SML_OTER","-"
"ICSP-10","MTCSA_PTER","876.922","40.518","0.093","0.026","92.366","0.442","0.158","0.01"
"ICSP-10","RTCSA_SML_PTER","690.785","22.011","0.148","0.019","93.192","0.182","0.172","0.018"
"ICSP-10","ITCSA_NON_PTER","1,186.906","88.006","0.151","0.032","89.802","0.958","0.164","0.011"
"ICSP-10","ITCSA_SML_PTER","769.419","37.061","0.13","0.023","93.063","0.24","0.169","0.017"
"Significant","-","True","-","True, False for RTCSA_SML_PTER and ITCSA_NON_PTER","-","True","-","True, False for RTCSA_SML_PTER and ITCSA_NON_PTER, False for RTCSA_SML_PTER and ITCSA_SML_PTER, False for ITCSA_NON_PTER and ITCSA_SML_PTER","-"
"ICSP-10","MTCSA_RTER","2,313.876","100.596","0.121","0.021","74.7","1.777","0.123","0.01"
"ICSP-10","RTCSA_SML_RTER","602.977","71.514","0.11","0.018","76.113","4.058","0.11","0.016"
"ICSP-10","ITCSA_NON_RTER","3,300.083","188.667","0.132","0.02","64.262","3.485","0.128","0.009"
"ICSP-10","ITCSA_SML_RTER","742.331","84.362","0.091","0.016","73.855","4.428","0.093","0.012"
"Significant","-","True","-","True, False for MTCSA_RTER and RTCSA_SML_RTER","-","True, False for MTCSA_RTER and ITCSA_SML_RTER","-","True","-"
"ICSP-10","MTCSA_STER","2,142.951","160.562","0.026","0.009","76.972","2.421","0.093","0.017"
"ICSP-10","RTCSA_SML_STER","936.657","125.483","0.046","0.013","79.098","2.812","0.087","0.021"
"ICSP-10","ITCSA_NON_STER","3,711.457","130.433","0.066","0.013","51.85","3.256","0.149","0.022"
"ICSP-10","ITCSA_SML_STER","1,331.723","189.05","0.066","0.014","64.593","4.886","0.123","0.02"
"Significant","-","True","-","True, False for ITCSA_NON_STER and ITCSA_SML_STER","-","True","-","True, False for MTCSA_STER and RTCSA_SML_STER","-"
