# Experimental Run Mon Feb 04 19:31:24 CST 2008
Antigen Average Diversity (AAD),Average B-Cell BMU Per Antigen (ABC-BMU/Antigen),Average B-Cell Diversity (ABCD),Average B-Cell Error (ABCE),Average T-Cell BMU Per Antigen (ATC-BMU/Antigen),Average T-Cell Diversity (ATCD),Average T-Cell Error (ATCE),Average T-Cell Mapping Error (ATCME),Average T-Cell Selected Set Mapping Error (ATCSSME),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"86.85999999999999","100.0","90.18460000000005","6.381504646990983E-4","100.0","88.81779999999998","0.060781974097728966","90.17800000000001","29.2","0.19833269678296186","score[0.19833269678296186]","4.25306918155851","848.0","0.20212324747565966","82.22","0.42530691815585103","84.8","1000","-1","1000","Epoch=1000,Best=0.42530691815585103,Worst=0.42530691815585103,Mean=0.42530691815585103,Stdev=0.0.","170172","Best=0.19833269678296186,Worst=0.771006333794465,Mean=0.5114273793255396,Stdev=0.09254768163500592."
"85.58","100.0","90.5668","0.002751017400867283","100.0","88.58899999999994","0.09251877101282599","90.92100000000002","32.3","0.2385001021586838","score[0.2385001021586838]","5.119419316898066","853.0","0.2236332080254511","83.47999999999999","0.5119419316898066","85.3","1000","-1","1000","Epoch=1000,Best=0.5119419316898066,Worst=0.5119419316898066,Mean=0.5119419316898066,Stdev=0.0.","170125","Best=0.2385001021586838,Worst=0.8332167163989634,Mean=0.5479207569191661,Stdev=0.0931158053958308."
"86.64","100.0","88.47620000000002","0.00216410884879199","100.0","87.99120000000002","0.10405795728629821","90.10900000000001","37.1","0.29682043825843935","score[0.29682043825843935]","6.829992672009009","849.0","0.2860073310517425","80.14000000000001","0.6829992672009009","84.9","1000","-1","1000","Epoch=1000,Best=0.6829992672009009,Worst=0.6829992672009009,Mean=0.6829992672009009,Stdev=0.0.","169922","Best=0.29682043825843935,Worst=0.9218290979153035,Mean=0.6218636209677039,Stdev=0.10482854320975034."
"85.86","100.0","90.99559999999998","5.29677778555316E-4","100.0","88.26179999999997","0.05385912853997923","89.738","15.0","0.2959106938038208","score[0.2959106938038208]","5.494191380527007","778.0","0.22886405850665614","87.86000000000003","0.5494191380527007","77.8","1000","-1","1000","Epoch=1000,Best=0.5494191380527007,Worst=0.5494191380527007,Mean=0.5494191380527007,Stdev=0.0.","169797","Best=0.2959106938038208,Worst=0.8485019618021662,Mean=0.5797927348678192,Stdev=0.09695509604982205."
"84.9","100.0","88.85120000000006","0.0018400849553250592","100.0","87.19939999999993","0.09012046877359034","88.446","24.2","0.3275044277772535","score[0.3275044277772535]","6.497613171232752","794.0","0.2643710277562859","84.1","0.6497613171232752","79.4","1000","-1","1000","Epoch=1000,Best=0.6497613171232752,Worst=0.6497613171232752,Mean=0.6497613171232752,Stdev=0.0.","170000","Best=0.3275044277772535,Worst=0.8420875406741969,Mean=0.6130496897444606,Stdev=0.09978152639177745."
"86.5","100.0","90.53640000000001","7.13482644725911E-4","100.0","89.26060000000005","0.09973241788910099","90.917","31.0","0.28356250399019656","score[0.28356250399019656]","5.470477304121833","846.0","0.21936925968988033","84.18","0.5470477304121834","84.6","1000","-1","1000","Epoch=1000,Best=0.5470477304121834,Worst=0.5470477304121834,Mean=0.5470477304121834,Stdev=0.0.","169922","Best=0.28356250399019656,Worst=0.8595474355956512,Mean=0.5780150656096132,Stdev=0.09609924821121675."
"85.46000000000001","100.0","88.71959999999999","0.0011249675249624016","100.0","88.38700000000003","0.08805711827824861","89.30799999999999","37.1","0.25014844949948867","score[0.25014844949948867]","6.17968831506515","855.0","0.2756199844252658","78.72","0.6179688315065149","85.5","1000","-1","1000","Epoch=1000,Best=0.6179688315065149,Worst=0.6179688315065149,Mean=0.6179688315065149,Stdev=0.0.","170265","Best=0.25014844949948867,Worst=0.9861342573254188,Mean=0.6492956968734416,Stdev=0.11069640311411938."
"86.7","100.0","88.87480000000004","0.002240501158531043","100.0","88.10620000000004","0.0886160517546451","89.04999999999998","33.5","0.2855904782096324","score[0.2855904782096324]","4.672875933812619","829.0","0.19310076697293627","82.92","0.46728759338126186","82.9","1000","-1","1000","Epoch=1000,Best=0.46728759338126186,Worst=0.46728759338126186,Mean=0.46728759338126186,Stdev=0.0.","170140","Best=0.2855904782096324,Worst=0.8823500176750372,Mean=0.6148292416350079,Stdev=0.10013032470517755."
"86.64000000000001","100.0","89.43419999999989","0.0027152249120848985","100.0","88.81459999999996","0.06305431831086682","89.918","30.2","0.2616293280257305","score[0.2616293280257305]","4.445649514094196","802.0","0.1698942526343962","83.03999999999999","0.4445649514094196","80.2","1000","-1","1000","Epoch=1000,Best=0.4445649514094196,Worst=0.4445649514094196,Mean=0.4445649514094196,Stdev=0.0.","170032","Best=0.2616293280257305,Worst=0.7682581532185522,Mean=0.5038262698413027,Stdev=0.07802635571692505."
"85.58","100.0","88.4738","0.007783969616042071","100.0","88.24459999999992","0.1077646128727349","89.906","39.9","0.19269682166712476","score[0.19269682166712476]","6.239349292144296","865.0","0.2592948174987877","80.52000000000001","0.6239349292144296","86.5","1000","-1","1000","Epoch=1000,Best=0.6239349292144296,Worst=0.6239349292144296,Mean=0.6239349292144296,Stdev=0.0.","169937","Best=0.19269682166712476,Worst=0.8774992877562333,Mean=0.5734262923016876,Stdev=0.11292389300141724."
