# Experimental Run Tue Feb 05 13:53:11 EST 2008
Antigen Average Diversity (AAD),Average B-Cell BMU Per Antigen (ABC-BMU/Antigen),Average B-Cell Diversity (ABCD),Average B-Cell Error (ABCE),Average T-Cell BMU Per Antigen (ATC-BMU/Antigen),Average T-Cell Diversity (ATCD),Average T-Cell Error (ATCE),Average T-Cell Mapping Error (ATCME),Average T-Cell Selected Set Mapping Error (ATCSSME),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"86.85999999999999","NaN","88.72759999999998","NaN","NaN","31.66500000000001","NaN","31.915000000000003","27.677777777777777","0.3384176109357941","score[0.3384176109357941]","6.940941896309355","946.0","0.3345716202395815","86.29999999999998","0.6940941896309355","94.6","1000","-1","1000","Epoch=1000,Best=0.6940941896309355,Worst=0.6940941896309355,Mean=0.6940941896309355,Stdev=0.0.","97082","Best=0.3384176109357941,Worst=0.7825209614552805,Mean=0.5659059861117158,Stdev=0.07397727768431889."
"85.58","NaN","88.26079999999997","NaN","NaN","31.587200000000003","NaN","31.803000000000004","26.96666666666666","0.3548855523249405","score[0.3548855523249405]","6.985072858974871","925.0","0.351874515706622","83.12","0.6985072858974871","92.5","1000","-1","1000","Epoch=1000,Best=0.6985072858974871,Worst=0.6985072858974871,Mean=0.6985072858974871,Stdev=0.0.","100910","Best=0.3548855523249405,Worst=0.8659338827590597,Mean=0.6147633768556131,Stdev=0.08196091751641198."
"86.64","NaN","89.2234","NaN","NaN","31.54420000000001","NaN","31.738","27.633333333333333","0.3947877978679167","score[0.3947877978679167]","5.429400196407518","893.0","0.2558107965171467","86.14","0.5429400196407518","89.3","1000","-1","1000","Epoch=1000,Best=0.5429400196407518,Worst=0.5429400196407518,Mean=0.5429400196407518,Stdev=0.0.","97113","Best=0.3947877978679167,Worst=0.8882223379565982,Mean=0.6559934720919212,Stdev=0.08111960316869583."
"85.86","NaN","88.85619999999999","NaN","NaN","31.635600000000004","NaN","31.639","27.577777777777776","0.3747856740937298","score[0.3747856740937298]","7.3725168754130594","856.0","0.3507615132840126","85.61999999999999","0.737251687541306","85.6","1000","-1","1000","Epoch=1000,Best=0.737251687541306,Worst=0.737251687541306,Mean=0.737251687541306,Stdev=0.0.","98066","Best=0.3747856740937298,Worst=0.8526388443462576,Mean=0.6257558038410383,Stdev=0.0763323494122893."
"84.9","NaN","88.86559999999997","NaN","NaN","31.627599999999997","NaN","31.746","26.6","0.39519871740268553","score[0.39519871740268553]","6.13380930567941","913.0","0.30361022884277616","84.6","0.613380930567941","91.3","1000","-1","1000","Epoch=1000,Best=0.613380930567941,Worst=0.613380930567941,Mean=0.613380930567941,Stdev=0.0.","98520","Best=0.39519871740268553,Worst=0.9373687479424746,Mean=0.6408065744277434,Stdev=0.08063359277228091."
"86.5","NaN","89.2746","NaN","NaN","31.596600000000002","NaN","31.871","26.755555555555553","0.3134951825623266","score[0.3134951825623266]","5.719871413728907","924.0","0.27885697499374124","84.78","0.5719871413728906","92.4","1000","-1","1000","Epoch=1000,Best=0.5719871413728906,Worst=0.5719871413728906,Mean=0.5719871413728906,Stdev=0.0.","97753","Best=0.3134951825623266,Worst=0.8603177076708329,Mean=0.6047013052233674,Stdev=0.07971993606343139."
"85.46000000000001","NaN","89.06799999999997","NaN","NaN","31.426","NaN","31.791999999999994","27.111111111111107","0.3591918232028948","score[0.3591918232028948]","8.442804214616281","884.0","0.4147520443077125","86.98","0.8442804214616281","88.4","1000","-1","1000","Epoch=1000,Best=0.8442804214616281,Worst=0.8442804214616281,Mean=0.8442804214616281,Stdev=0.0.","97114","Best=0.3591918232028948,Worst=0.9400782449428868,Mean=0.6723084881881163,Stdev=0.08808555078988628."
"86.7","NaN","88.85419999999993","NaN","NaN","31.631000000000007","NaN","31.607","26.388888888888893","0.3977871582163315","score[0.3977871582163315]","7.355363387997","903.0","0.3479986547560308","83.92","0.7355363387997","90.3","1000","-1","1000","Epoch=1000,Best=0.7355363387997,Worst=0.7355363387997,Mean=0.7355363387997,Stdev=0.0.","96988","Best=0.3977871582163315,Worst=0.8991173176732243,Mean=0.6387874229516322,Stdev=0.07495514548231388."
"86.64000000000001","NaN","88.42920000000002","NaN","NaN","31.58020000000001","NaN","31.960999999999995","27.0","0.304213938806972","score[0.304213938806972]","4.99212952218138","944.0","0.2353599433271687","84.11999999999999","0.499212952218138","94.4","1000","-1","1000","Epoch=1000,Best=0.499212952218138,Worst=0.499212952218138,Mean=0.499212952218138,Stdev=0.0.","98191","Best=0.304213938806972,Worst=0.7582935815952886,Mean=0.5648156103072985,Stdev=0.07412688225480706."
"85.58","NaN","88.8916","NaN","NaN","31.526200000000006","NaN","32.013000000000005","26.01111111111111","0.37438345083749486","score[0.37438345083749486]","7.163866151932694","910.0","0.3489556996092338","86.1","0.7163866151932694","91.0","1000","-1","1000","Epoch=1000,Best=0.7163866151932694,Worst=0.7163866151932694,Mean=0.7163866151932694,Stdev=0.0.","98004","Best=0.37438345083749486,Worst=0.8770636130171263,Mean=0.6478109378178039,Stdev=0.0887522126199642."
"86.38000000000002","NaN","88.83879999999999","NaN","NaN","31.654199999999992","NaN","31.85","26.911111111111115","0.4208855726219797","score[0.4208855726219797]","5.290870104205623","910.0","0.232142479003376","85.49999999999999","0.5290870104205623","91.0","1000","-1","1000","Epoch=1000,Best=0.5290870104205623,Worst=0.5290870104205623,Mean=0.5290870104205623,Stdev=0.0.","97066","Best=0.4208855726219797,Worst=0.946278166478141,Mean=0.6846805853588296,Stdev=0.08903144215889158."
"87.57999999999998","NaN","90.01000000000002","NaN","NaN","31.58719999999999","NaN","32.007999999999996","27.122222222222224","0.39855158812194275","score[0.39855158812194275]","6.20364806054755","923.0","0.28712471029792563","84.96000000000001","0.6203648060547551","92.3","1000","-1","1000","Epoch=1000,Best=0.6203648060547551,Worst=0.6203648060547551,Mean=0.6203648060547551,Stdev=0.0.","100957","Best=0.39855158812194275,Worst=0.8949691103177384,Mean=0.6495079920540603,Stdev=0.08330768840701887."
"86.28","NaN","88.59340000000002","NaN","NaN","31.6402","NaN","31.698999999999995","26.4","0.4560726802566655","score[0.4560726802566655]","7.446955583208787","910.0","0.35333889061120594","87.52000000000001","0.7446955583208787","91.0","1000","-1","1000","Epoch=1000,Best=0.7446955583208787,Worst=0.7446955583208787,Mean=0.7446955583208787,Stdev=0.0.","97097","Best=0.4560726802566655,Worst=0.9164165557908148,Mean=0.6828598310721474,Stdev=0.08231480123408515."
"86.11999999999998","NaN","88.13820000000001","NaN","NaN","31.63739999999999","NaN","31.968","27.8","0.3188912204520463","score[0.3188912204520463]","3.928750199341671","924.0","0.17503335368417558","85.52000000000001","0.3928750199341671","92.4","1000","-1","1000","Epoch=1000,Best=0.3928750199341671,Worst=0.3928750199341671,Mean=0.3928750199341671,Stdev=0.0.","97176","Best=0.3188912204520463,Worst=0.8028945406755851,Mean=0.5641163563396127,Stdev=0.07556946207293219."
