# Experimental Run Mon Feb 11 22:09:15 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","91.68159999999997","91.68159999999997","NaN","91.70499999999997","0.19549476150039974","96.2","183.3866","0.0662292879077942","score[0.0662292879077942]","0.6916290940215979","902.0","NaN","83.06","0.06916290940215979","90.2","1000","-1","1000","Epoch=1000,Best=0.06916290940215979,Worst=0.06916290940215979,Mean=0.06916290940215979,Stdev=0.0.","183562","Best=0.0662292879077942,Worst=0.15482311918735495,Mean=0.09927451291613631,Stdev=0.01715335109536993."
"NaN","85.58","NaN","91.80120000000002","91.80120000000002","NaN","91.01320000000001","0.1684097488708161","92.0","182.81439999999998","0.0577514815650398","score[0.0577514815650398]","0.827872713445585","936.0","NaN","84.50000000000001","0.0827872713445585","93.6","1000","-1","1000","Epoch=1000,Best=0.0827872713445585,Worst=0.0827872713445585,Mean=0.0827872713445585,Stdev=0.0.","182953","Best=0.0577514815650398,Worst=0.16025209346141453,Mean=0.10799059171249657,Stdev=0.02449149364393807."
"NaN","86.64","NaN","92.40360000000001","92.40360000000001","NaN","91.7694","0.16590657864388095","90.4","184.17299999999994","0.06853489609251098","score[0.06853489609251098]","0.9459087320790123","914.0","NaN","81.16","0.09459087320790123","91.4","1000","-1","1000","Epoch=1000,Best=0.09459087320790123,Worst=0.09459087320790123,Mean=0.09459087320790123,Stdev=0.0.","182813","Best=0.06853489609251098,Worst=0.16448759695389573,Mean=0.11720122137662221,Stdev=0.01929900187132461."
"NaN","85.86","NaN","91.97639999999997","91.97639999999997","NaN","92.11099999999999","0.1399946694334421","96.9","184.08739999999997","0.08468438889657093","score[0.08468438889657093]","1.1226880283237202","920.0","NaN","85.41999999999999","0.11226880283237202","92.0","1000","-1","1000","Epoch=1000,Best=0.11226880283237202,Worst=0.11226880283237202,Mean=0.11226880283237202,Stdev=0.0.","182890","Best=0.08468438889657093,Worst=0.1851913830359822,Mean=0.11951607548265557,Stdev=0.01955235637512005."
"NaN","84.9","NaN","92.11900000000003","92.11900000000003","NaN","91.10759999999993","0.1752507712067976","92.1","183.22660000000008","0.043315117550470746","score[0.043315117550470746]","0.5783849498783815","910.0","NaN","85.38","0.05783849498783815","91.0","1000","-1","1000","Epoch=1000,Best=0.05783849498783815,Worst=0.05783849498783815,Mean=0.05783849498783815,Stdev=0.0.","183031","Best=0.043315117550470746,Worst=0.16761084221607922,Mean=0.09860464381309834,Stdev=0.03110367516189094."
"NaN","86.5","NaN","92.66180000000006","92.66180000000006","NaN","91.83119999999997","0.1628229968258051","96.3","184.49299999999997","0.0538613623502469","score[0.0538613623502469]","0.7999804735456025","948.0","NaN","85.46000000000001","0.07999804735456026","94.8","1000","-1","1000","Epoch=1000,Best=0.07999804735456026,Worst=0.07999804735456026,Mean=0.07999804735456026,Stdev=0.0.","182922","Best=0.0538613623502469,Worst=0.16256293723636028,Mean=0.0931673232549371,Stdev=0.022582269233103212."
"NaN","85.46000000000001","NaN","92.27960000000002","92.27960000000002","NaN","91.32979999999996","0.17245951169866985","97.6","183.6094","0.072343635006368","score[0.072343635006368]","0.8546142077965114","905.0","NaN","85.0","0.08546142077965115","90.5","1000","-1","1000","Epoch=1000,Best=0.08546142077965115,Worst=0.08546142077965115,Mean=0.08546142077965115,Stdev=0.0.","182938","Best=0.072343635006368,Worst=0.168925216777485,Mean=0.1157396886596954,Stdev=0.01984663456947555."
"NaN","86.7","NaN","91.93660000000006","91.93660000000006","NaN","91.39340000000001","0.17768459874301315","97.0","183.33","0.07406691388841707","score[0.07406691388841707]","0.770328984784024","896.0","NaN","85.74000000000002","0.0770328984784024","89.6","1000","-1","1000","Epoch=1000,Best=0.0770328984784024,Worst=0.0770328984784024,Mean=0.0770328984784024,Stdev=0.0.","182813","Best=0.07406691388841707,Worst=0.19321487169181673,Mean=0.11923199858377764,Stdev=0.022011059491910366."
"NaN","86.64000000000001","NaN","90.90900000000002","90.90900000000002","NaN","91.53319999999998","0.18231712550348017","93.1","182.44220000000004","0.053046038099263906","score[0.053046038099263906]","0.771739603434117","918.0","NaN","83.52000000000001","0.0771739603434117","91.8","1000","-1","1000","Epoch=1000,Best=0.0771739603434117,Worst=0.0771739603434117,Mean=0.0771739603434117,Stdev=0.0.","182906","Best=0.053046038099263906,Worst=0.1511248312901303,Mean=0.09765213808026474,Stdev=0.02191758645110604."
"NaN","85.58","NaN","90.95320000000004","90.95320000000004","NaN","92.26960000000001","0.16082040683784804","96.1","183.22280000000006","0.07470061313132424","score[0.07470061313132424]","0.7709706135647737","899.0","NaN","79.72","0.07709706135647737","89.9","1000","-1","1000","Epoch=1000,Best=0.07709706135647737,Worst=0.07709706135647737,Mean=0.07709706135647737,Stdev=0.0.","183031","Best=0.07470061313132424,Worst=0.14097677172898418,Mean=0.10339828268631927,Stdev=0.01423077466248457."
