# Experimental Run Tue Feb 12 01:35:51 ACT 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","91.46500000000002","91.46500000000002","NaN","91.7402","0.11938617495608965","94.2","183.2052","0.12966422660171179","score[0.12966422660171179]","1.7028825872662319","985.0","NaN","75.32","0.17028825872662318","98.5","1000","-1","1000","Epoch=1000,Best=0.17028825872662318,Worst=0.17028825872662318,Mean=0.17028825872662318,Stdev=0.0.","207000","Best=0.12966422660171179,Worst=0.26934572291463865,Mean=0.20038224234999674,Stdev=0.021619190691864937."
"NaN","85.58","NaN","92.21060000000003","92.21060000000003","NaN","92.16840000000002","0.17336292624395921","94.6","184.379","0.11054087993196826","score[0.11054087993196826]","1.6612254221263034","954.0","NaN","72.14","0.16612254221263034","95.4","1000","-1","1000","Epoch=1000,Best=0.16612254221263034,Worst=0.16612254221263034,Mean=0.16612254221263034,Stdev=0.0.","207031","Best=0.11054087993196826,Worst=0.25971171428068685,Mean=0.1872133203287658,Stdev=0.023848513281098535."
"NaN","86.64","NaN","92.36679999999998","92.36679999999998","NaN","90.98420000000002","0.107744490978985","96.0","183.351","0.11169238462683251","score[0.11169238462683251]","1.864977740749695","943.0","NaN","82.46","0.1864977740749695","94.3","1000","-1","1000","Epoch=1000,Best=0.1864977740749695,Worst=0.1864977740749695,Mean=0.1864977740749695,Stdev=0.0.","206782","Best=0.11169238462683251,Worst=0.27099501671813014,Mean=0.19148757129602031,Stdev=0.02530686298803843."
"NaN","85.86","NaN","91.66380000000002","91.66380000000002","NaN","91.4712","0.11681297895649086","92.7","183.13500000000013","0.11988377097914452","score[0.11988377097914452]","1.8510453633851298","944.0","NaN","75.82000000000001","0.18510453633851298","94.4","1000","-1","1000","Epoch=1000,Best=0.18510453633851298,Worst=0.18510453633851298,Mean=0.18510453633851298,Stdev=0.0.","206375","Best=0.11988377097914452,Worst=0.26318147590016994,Mean=0.1929806988495654,Stdev=0.023349597166110153."
"NaN","84.9","NaN","91.66380000000001","91.66380000000001","NaN","91.66799999999998","0.18922947480783747","93.1","183.33180000000004","0.1427950451613962","score[0.1427950451613962]","2.5661864431614045","904.0","NaN","81.66","0.25661864431614045","90.4","1000","-1","1000","Epoch=1000,Best=0.25661864431614045,Worst=0.25661864431614045,Mean=0.25661864431614045,Stdev=0.0.","206406","Best=0.1427950451613962,Worst=0.3136709643725197,Mean=0.22986712686970054,Stdev=0.02915268009852739."
"NaN","86.5","NaN","91.8432","91.8432","NaN","91.5632","0.15134119277858363","92.4","183.4064","0.1264330104503851","score[0.1264330104503851]","1.9758025455680572","966.0","NaN","70.62","0.19758025455680572","96.6","1000","-1","1000","Epoch=1000,Best=0.19758025455680572,Worst=0.19758025455680572,Mean=0.19758025455680572,Stdev=0.0.","206422","Best=0.1264330104503851,Worst=0.2797847898320215,Mean=0.2095038323998763,Stdev=0.021346105784371315."
"NaN","85.46000000000001","NaN","91.70440000000006","91.70440000000006","NaN","91.18560000000004","0.1338678903454252","92.7","182.89","0.12291427221058075","score[0.12291427221058075]","2.478932388326386","960.0","NaN","82.9","0.2478932388326386","96.0","1000","-1","1000","Epoch=1000,Best=0.2478932388326386,Worst=0.2478932388326386,Mean=0.2478932388326386,Stdev=0.0.","206282","Best=0.12291427221058075,Worst=0.30581709529743667,Mean=0.22808130850044175,Stdev=0.02308924445765703."
"NaN","86.7","NaN","92.53440000000002","92.53440000000002","NaN","91.86139999999996","0.11660909344815493","96.4","184.39579999999998","0.16191946932772044","score[0.16191946932772044]","3.260428360467106","943.0","NaN","55.080000000000005","0.3260428360467106","94.3","1000","-1","1000","Epoch=1000,Best=0.3260428360467106,Worst=0.3260428360467106,Mean=0.3260428360467106,Stdev=0.0.","206453","Best=0.16191946932772044,Worst=0.3518567726011697,Mean=0.2502850864105133,Stdev=0.03187846970793054."
"NaN","86.64000000000001","NaN","91.84779999999999","91.84779999999999","NaN","91.1364","0.0903527555413042","95.2","182.9841999999999","0.10630804640584565","score[0.10630804640584565]","2.0277890743613614","922.0","NaN","74.32000000000001","0.20277890743613614","92.2","1000","-1","1000","Epoch=1000,Best=0.20277890743613614,Worst=0.20277890743613614,Mean=0.20277890743613614,Stdev=0.0.","206578","Best=0.10630804640584565,Worst=0.26312107976447596,Mean=0.19172054879031253,Stdev=0.02325098413462182."
"NaN","85.58","NaN","92.18539999999997","92.18539999999997","NaN","92.0402","0.23790857071207677","97.0","184.22560000000001","0.13339600936954496","score[0.13339600936954496]","2.398231787314916","943.0","NaN","61.4","0.2398231787314916","94.3","1000","-1","1000","Epoch=1000,Best=0.2398231787314916,Worst=0.2398231787314916,Mean=0.2398231787314916,Stdev=0.0.","206313","Best=0.13339600936954496,Worst=0.39224867339526914,Mean=0.26463431532289583,Stdev=0.04946462192107839."
