# Experimental Run Mon Feb 11 23:11:34 CST 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Response Error (RE),Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","92.04539999999999","92.04539999999999","NaN","92.0966","0.12837068622231726","97.7","184.14199999999997","0.4028200263215845","score[0.4028200263215845]","6.511283552056963","972.0","NaN","79.50000000000001","0.6511283552056963","97.2","1000","-1","1000","Epoch=1000,Best=0.6511283552056963,Worst=0.6511283552056963,Mean=0.6511283552056963,Stdev=0.0.","0.6511283552056963","183125","Best=0.4028200263215845,Worst=0.8666051223270829,Mean=0.5990410840864505,Stdev=0.07420679918194517."
"NaN","85.58","NaN","91.84740000000002","91.84740000000002","NaN","91.45640000000002","0.13706253042015729","93.2","183.30380000000002","0.37525196641010955","score[0.37525196641010955]","5.773992724543449","1000.0","NaN","79.82","0.5773992724543449","100.0","1000","-1","1000","Epoch=1000,Best=0.5773992724543449,Worst=0.5773992724543449,Mean=0.5773992724543449,Stdev=0.0.","0.5773992724543449","182938","Best=0.37525196641010955,Worst=0.8096925101260585,Mean=0.5866234471305374,Stdev=0.06756741244354607."
"NaN","86.64","NaN","92.14099999999996","92.14099999999996","NaN","92.01959999999995","0.16981814455427105","96.4","184.16059999999993","0.38737205116678597","score[0.38737205116678597]","5.660501094603259","922.0","NaN","84.36","0.5660501094603259","92.2","1000","-1","1000","Epoch=1000,Best=0.5660501094603259,Worst=0.5660501094603259,Mean=0.5660501094603259,Stdev=0.0.","0.5660501094603259","182797","Best=0.38737205116678597,Worst=0.8662555275429661,Mean=0.6325169974987099,Stdev=0.07736194981994632."
"NaN","85.86","NaN","91.2782","91.2782","NaN","91.20940000000002","0.10942341816155557","96.5","182.48760000000004","0.37788949302511626","score[0.37788949302511626]","5.803808003743512","960.0","NaN","83.53999999999999","0.5803808003743512","96.0","1000","-1","1000","Epoch=1000,Best=0.5803808003743512,Worst=0.5803808003743512,Mean=0.5803808003743512,Stdev=0.0.","0.5803808003743512","184063","Best=0.37788949302511626,Worst=0.8182188194921853,Mean=0.617546460885736,Stdev=0.0715543948020919."
"NaN","84.9","NaN","91.81799999999997","91.81799999999997","NaN","92.30539999999999","0.21173413433995597","95.8","184.1234","0.43414785139159096","score[0.43414785139159096]","6.118397164690892","935.0","NaN","83.75999999999999","0.6118397164690892","93.5","1000","-1","1000","Epoch=1000,Best=0.6118397164690892,Worst=0.6118397164690892,Mean=0.6118397164690892,Stdev=0.0.","0.6118397164690892","184062","Best=0.43414785139159096,Worst=0.8885476585902664,Mean=0.6582650543771773,Stdev=0.07535487621763931."
"NaN","86.5","NaN","92.16759999999998","92.16759999999998","NaN","91.98440000000001","0.22891724721347034","96.6","184.15200000000007","0.34185668785186607","score[0.34185668785186607]","5.9156489278022715","981.0","NaN","85.84","0.5915648927802272","98.1","1000","-1","1000","Epoch=1000,Best=0.5915648927802272,Worst=0.5915648927802272,Mean=0.5915648927802272,Stdev=0.0.","0.5915648927802272","184157","Best=0.34185668785186607,Worst=0.8193534178963308,Mean=0.5971253934664591,Stdev=0.07535020599593191."
"NaN","85.46000000000001","NaN","91.87300000000003","91.87300000000003","NaN","91.80179999999994","0.15073157630709605","98.2","183.67479999999992","0.4536899256597315","score[0.4536899256597315]","6.2296177599477724","933.0","NaN","85.6","0.6229617759947772","93.3","1000","-1","1000","Epoch=1000,Best=0.6229617759947772,Worst=0.6229617759947772,Mean=0.6229617759947772,Stdev=0.0.","0.6229617759947772","184125","Best=0.4536899256597315,Worst=0.8917191576355756,Mean=0.6796809186830605,Stdev=0.07496191367780562."
"NaN","86.7","NaN","92.3492","92.3492","NaN","91.86099999999996","0.1687918439630714","96.9","184.21020000000004","0.426324667242452","score[0.426324667242452]","6.710487123628632","969.0","NaN","82.91999999999999","0.6710487123628632","96.9","1000","-1","1000","Epoch=1000,Best=0.6710487123628632,Worst=0.6710487123628632,Mean=0.6710487123628632,Stdev=0.0.","0.6710487123628632","183985","Best=0.426324667242452,Worst=0.8648244074213107,Mean=0.6317064584936627,Stdev=0.06909716081965935."
"NaN","86.64000000000001","NaN","91.60639999999998","91.60639999999998","NaN","91.61320000000002","0.15251383791538847","98.3","183.21959999999996","0.32697977441719706","score[0.32697977441719706]","4.993100704470217","972.0","NaN","80.52000000000001","0.49931007044702175","97.2","1000","-1","1000","Epoch=1000,Best=0.49931007044702175,Worst=0.49931007044702175,Mean=0.49931007044702175,Stdev=0.0.","0.49931007044702175","184640","Best=0.32697977441719706,Worst=0.7536951721179321,Mean=0.5587956700363609,Stdev=0.06925161512465963."
"NaN","85.58","NaN","92.00099999999996","92.00099999999996","NaN","91.04339999999996","0.20370274592793539","98.3","183.0444","0.3989490054668963","score[0.3989490054668963]","4.021068636001637","937.0","NaN","80.08000000000001","0.4021068636001637","93.7","1000","-1","1000","Epoch=1000,Best=0.4021068636001637,Worst=0.4021068636001637,Mean=0.4021068636001637,Stdev=0.0.","0.4021068636001637","184219","Best=0.3989490054668963,Worst=0.8489633660022372,Mean=0.627822265250335,Stdev=0.07396579734624832."
"NaN","86.38000000000002","NaN","91.52140000000001","91.52140000000001","NaN","91.82740000000001","0.17481356168942583","94.4","183.3488000000001","0.4430355792024544","score[0.4430355792024544]","6.24533284145032","965.0","NaN","79.03999999999999","0.6245332841450321","96.5","1000","-1","1000","Epoch=1000,Best=0.6245332841450321,Worst=0.6245332841450321,Mean=0.6245332841450321,Stdev=0.0.","0.6245332841450321","184109","Best=0.4430355792024544,Worst=0.8537013847282866,Mean=0.6664448587253017,Stdev=0.07089710017690087."
"NaN","87.57999999999998","NaN","91.15039999999998","91.15039999999998","NaN","91.88920000000002","0.1863579444807013","93.6","183.03959999999992","0.4144448384855515","score[0.4144448384855515]","5.367839661241282","963.0","NaN","75.4","0.5367839661241283","96.3","1000","-1","1000","Epoch=1000,Best=0.5367839661241283,Worst=0.5367839661241283,Mean=0.5367839661241283,Stdev=0.0.","0.5367839661241283","184344","Best=0.4144448384855515,Worst=0.8402749508434896,Mean=0.6406221213868075,Stdev=0.07056854519787358."
"NaN","86.28","NaN","91.45000000000003","91.45000000000003","NaN","92.1294","0.18116202000776505","96.7","183.57940000000002","0.41317999607411526","score[0.41317999607411526]","6.3691778615622745","967.0","NaN","82.58","0.6369177861562274","96.7","1000","-1","1000","Epoch=1000,Best=0.6369177861562274,Worst=0.6369177861562274,Mean=0.6369177861562274,Stdev=0.0.","0.6369177861562274","184250","Best=0.41317999607411526,Worst=0.8804704787803432,Mean=0.6607823247200958,Stdev=0.07369603053979273."
