# Experimental Run Tue Feb 12 00:43:40 CST 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Mapped Diversity (ACMD),Average Mapped BMU Euclidean Error (AMBMUEE),Average Mapped BMU Hamming Error (AMBMUHE),Average Network Cell Diversity (ANCD),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Response Error (RE),Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","91.29200000000004","91.29200000000004","NaN","91.8416","0.19376103186781227","94.0","183.13359999999997","0.3568251711893803","score[0.3568251711893803]","5.846654122659489","934.0","NaN","80.5","0.5846654122659489","93.4","1000","-1","1000","Epoch=1000,Best=0.5846654122659489,Worst=0.5846654122659489,Mean=0.5846654122659489,Stdev=0.0.","0.5846654122659489","184313","Best=0.3568251711893803,Worst=0.7841912210294298,Mean=0.591989001771356,Stdev=0.06869535345865702."
"NaN","85.58","NaN","91.64139999999996","91.64139999999996","NaN","91.89539999999997","0.1934302360339767","97.0","183.53679999999997","0.3895671309150313","score[0.3895671309150313]","5.27841923655454","907.0","NaN","81.28","0.527841923655454","90.7","1000","-1","1000","Epoch=1000,Best=0.527841923655454,Worst=0.527841923655454,Mean=0.527841923655454,Stdev=0.0.","0.527841923655454","184187","Best=0.3895671309150313,Worst=0.8709547625372928,Mean=0.5951807687095061,Stdev=0.0644578878268215."
"NaN","86.64","NaN","91.56619999999997","91.56619999999997","NaN","92.0634","0.1519502263622468","94.1","183.62959999999995","0.4287276824243472","score[0.4287276824243472]","6.460271283537482","933.0","NaN","84.50000000000001","0.6460271283537482","93.3","1000","-1","1000","Epoch=1000,Best=0.6460271283537482,Worst=0.6460271283537482,Mean=0.6460271283537482,Stdev=0.0.","0.6460271283537482","184172","Best=0.4287276824243472,Worst=0.8321714747187597,Mean=0.6419766926772335,Stdev=0.069273280935799."
"NaN","85.86","NaN","91.74940000000001","91.74940000000001","NaN","92.61159999999997","0.1595564810829449","93.3","184.36099999999988","0.37831990341855376","score[0.37831990341855376]","4.692540559856436","923.0","NaN","72.64","0.4692540559856436","92.3","1000","-1","1000","Epoch=1000,Best=0.4692540559856436,Worst=0.4692540559856436,Mean=0.4692540559856436,Stdev=0.0.","0.4692540559856436","184109","Best=0.37831990341855376,Worst=0.846289147085041,Mean=0.621691233052103,Stdev=0.07162724998040712."
"NaN","84.9","NaN","92.09960000000002","92.09960000000002","NaN","92.44820000000001","0.16488413509216576","94.9","184.54780000000002","0.3966556537811305","score[0.3966556537811305]","6.351610894961421","941.0","NaN","83.11999999999999","0.6351610894961421","94.1","1000","-1","1000","Epoch=1000,Best=0.6351610894961421,Worst=0.6351610894961421,Mean=0.6351610894961421,Stdev=0.0.","0.6351610894961421","184250","Best=0.3966556537811305,Worst=0.8508457454292644,Mean=0.6496941328270867,Stdev=0.07270073829792123."
"NaN","86.5","NaN","91.27059999999997","91.27059999999997","NaN","91.62239999999996","0.16538338893091475","94.1","182.89299999999994","0.3986312594483783","score[0.3986312594483783]","5.907747913284191","979.0","NaN","84.12","0.5907747913284191","97.9","1000","-1","1000","Epoch=1000,Best=0.5907747913284191,Worst=0.5907747913284191,Mean=0.5907747913284191,Stdev=0.0.","0.5907747913284191","184016","Best=0.3986312594483783,Worst=0.8020396644065304,Mean=0.5904840262453063,Stdev=0.06913930262508407."
"NaN","85.46000000000001","NaN","91.96259999999998","91.96259999999998","NaN","91.52360000000003","0.24356014699703477","95.3","183.4862","0.4077959637212615","score[0.4077959637212615]","7.094846712690698","945.0","NaN","73.72","0.7094846712690698","94.5","1000","-1","1000","Epoch=1000,Best=0.7094846712690698,Worst=0.7094846712690698,Mean=0.7094846712690698,Stdev=0.0.","0.7094846712690698","184172","Best=0.4077959637212615,Worst=0.8713784244939878,Mean=0.6717190194072961,Stdev=0.0791334772726136."
"NaN","86.7","NaN","91.96619999999999","91.96619999999999","NaN","91.7442","0.16036588149663272","92.2","183.71039999999994","0.42196118162161717","score[0.42196118162161717]","6.370773574928757","936.0","NaN","81.22","0.6370773574928756","93.6","1000","-1","1000","Epoch=1000,Best=0.6370773574928756,Worst=0.6370773574928756,Mean=0.6370773574928756,Stdev=0.0.","0.6370773574928756","184218","Best=0.42196118162161717,Worst=0.8570922776334987,Mean=0.6344009314979658,Stdev=0.07266060230672672."
"NaN","86.64000000000001","NaN","92.59600000000005","92.59600000000005","NaN","91.65179999999998","0.14902056235132705","93.3","184.2478","0.342555058150671","score[0.342555058150671]","4.581628585292574","926.0","NaN","81.43999999999998","0.45816285852925737","92.6","1000","-1","1000","Epoch=1000,Best=0.45816285852925737,Worst=0.45816285852925737,Mean=0.45816285852925737,Stdev=0.0.","0.45816285852925737","184359","Best=0.342555058150671,Worst=0.7885898770305616,Mean=0.5697181259106308,Stdev=0.0646515296055179."
"NaN","85.58","NaN","91.73000000000002","91.73000000000002","NaN","91.86380000000001","0.2208734672220499","95.9","183.59380000000004","0.37462233427514235","score[0.37462233427514235]","6.558625108908151","978.0","NaN","80.30000000000001","0.6558625108908152","97.8","1000","-1","1000","Epoch=1000,Best=0.6558625108908152,Worst=0.6558625108908152,Mean=0.6558625108908152,Stdev=0.0.","0.6558625108908152","184297","Best=0.37462233427514235,Worst=0.8221563512797692,Mean=0.6208187918989005,Stdev=0.06957032091476088."
