# Experimental Run Tue Feb 05 02:54:39 CST 2008
Absolute Cell Error (AbCE),Antigen Average Diversity (AAD),Average BMU Per Antigen (ABMU/Antigen),Average Cell Diversity (ACD),Average Cell Diversity Ratio (ACDR),Average Cell Error (ACE),Average Cell Neighbourhood Diversity (ACND),Average SubCell Neighbourhood Diversity (ASCND),Best Score,Best Solution,Cell Set Absolute Eucldiean Error (CSAbEE),Cell Set Absolute Hamming Error (CSAbHE),Cell Set Average Component Euclidean Error (CSACEE),Cell Set Average Diversity (CSAD),Cell Set Average Eucldiean Error (CSAEE),Cell Set Average Hamming Error (CSAHE),Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Run Time Milliseconds,Score Summary
"NaN","86.85999999999999","NaN","31.58297777777781","31.58297777777781","NaN","72.50617283950614","23.57201646090535","1.691515592887656E-10","score[1.691515592887656E-10]","1.691515592887656E-9","334.0","5.6428134387331834E-11","87.46000000000001","1.691515592887656E-10","33.4","1000","-1","1000","Epoch=1000,Best=1.691515592887656E-10,Worst=1.691515592887656E-10,Mean=1.691515592887656E-10,Stdev=0.0.","206500","Best=1.691515592887656E-10,Worst=0.14115488132055576,Mean=0.005978742752664093,Stdev=0.014671045491030257."
"NaN","85.58","NaN","31.408622222222252","31.408622222222252","NaN","71.30419753086417","22.966803840877912","8.238189194634564E-12","score[8.238189194634564E-12]","8.238189194634564E-11","286.0","2.775210154274769E-12","85.3","8.238189194634564E-12","28.6","1000","-1","1000","Epoch=1000,Best=8.238189194634564E-12,Worst=8.238189194634564E-12,Mean=8.238189194634564E-12,Stdev=0.0.","206359","Best=8.238189194634564E-12,Worst=0.12056318967246063,Mean=0.004420050299949236,Stdev=0.01482788500610199."
"NaN","86.64","NaN","31.50797777777779","31.50797777777779","NaN","71.59802469135803","23.77942386831276","4.247500186362609E-11","score[4.247500186362609E-11]","4.2475001863626087E-10","304.0","1.4309433730523103E-11","86.32","4.247500186362609E-11","30.4","1000","-1","1000","Epoch=1000,Best=4.247500186362609E-11,Worst=4.247500186362609E-11,Mean=4.247500186362609E-11,Stdev=0.0.","206172","Best=4.247500186362609E-11,Worst=0.13138551464719192,Mean=0.006226837542326144,Stdev=0.018194137899839206."
"NaN","85.86","NaN","31.559400000000018","31.559400000000018","NaN","73.24790123456792","24.080109739368996","1.3787125818085061E-6","score[1.3787125818085061E-6]","1.3787125818085062E-5","416.0","4.611571233034684E-7","86.25999999999999","1.3787125818085061E-6","41.6","1000","-1","1000","Epoch=1000,Best=1.3787125818085061E-6,Worst=1.3787125818085061E-6,Mean=1.3787125818085061E-6,Stdev=0.0.","206391","Best=1.3787125818085061E-6,Worst=0.14629171579431938,Mean=0.005130170088826162,Stdev=0.013175608947946353."
"NaN","84.9","NaN","31.439511111111134","31.439511111111134","NaN","71.0162962962963","23.31577503429355","1.6179387543959562E-8","score[1.6179387543959562E-8]","1.723721938271819E-6","354.0","5.823502893855896E-8","85.86","1.723721938271819E-7","35.4","1000","-1","1000","Epoch=1000,Best=1.723721938271819E-7,Worst=1.723721938271819E-7,Mean=1.723721938271819E-7,Stdev=0.0.","206828","Best=1.6179387543959562E-8,Worst=0.15295160376356595,Mean=0.006215060384615619,Stdev=0.01657040761095571."
"NaN","86.5","NaN","31.548844444444445","31.548844444444445","NaN","70.0449382716049","24.51632373113854","1.0856669032282006E-13","score[1.0856669032282006E-13]","1.0856669032282006E-12","264.0","3.8103779390989225E-14","85.26000000000002","1.0856669032282006E-13","26.4","1000","-1","1000","Epoch=1000,Best=1.0856669032282006E-13,Worst=1.0856669032282006E-13,Mean=1.0856669032282006E-13,Stdev=0.0.","205844","Best=1.0856669032282006E-13,Worst=0.1565161301237949,Mean=0.005330313449337057,Stdev=0.017751232431772384."
"NaN","85.46000000000001","NaN","31.460111111111054","31.460111111111054","NaN","69.94617283950618","23.33827160493827","8.441685810490607E-11","score[8.441685810490607E-11]","8.441685810490607E-10","270.0","2.8149609090459084E-11","84.58000000000001","8.441685810490607E-11","27.0","1000","-1","1000","Epoch=1000,Best=8.441685810490607E-11,Worst=8.441685810490607E-11,Mean=8.441685810490607E-11,Stdev=0.0.","205984","Best=8.441685810490607E-11,Worst=0.12880652616631916,Mean=0.008578068622388137,Stdev=0.0206980014071885."
"NaN","86.7","NaN","31.492244444444434","31.492244444444434","NaN","72.56395061728392","24.10480109739369","4.7852873508959693E-11","score[4.7852873508959693E-11]","4.785287350895969E-10","370.0","1.900279872693589E-11","86.62000000000002","4.7852873508959693E-11","37.0","1000","-1","1000","Epoch=1000,Best=4.7852873508959693E-11,Worst=4.7852873508959693E-11,Mean=4.7852873508959693E-11,Stdev=0.0.","206515","Best=4.7852873508959693E-11,Worst=0.16390455567202777,Mean=0.005116075380610426,Stdev=0.01476096787219511."
"NaN","86.64000000000001","NaN","31.59373333333331","31.59373333333331","NaN","72.46419753086423","24.85541838134431","1.509069527362371E-7","score[1.509069527362371E-7]","1.5090695273623708E-6","416.0","5.2310537204669497E-8","86.80000000000001","1.509069527362371E-7","41.6","1000","-1","1000","Epoch=1000,Best=1.509069527362371E-7,Worst=1.509069527362371E-7,Mean=1.509069527362371E-7,Stdev=0.0.","206141","Best=1.509069527362371E-7,Worst=0.13852681985825316,Mean=0.0060057524750215625,Stdev=0.016836541605453358."
"NaN","85.58","NaN","31.303644444444455","31.303644444444455","NaN","71.12592592592596","22.802194787379978","1.720655588581232E-11","score[1.720655588581232E-11]","1.720655588581232E-10","322.0","5.769469624272717E-12","85.38","1.720655588581232E-11","32.2","1000","-1","1000","Epoch=1000,Best=1.720655588581232E-11,Worst=1.720655588581232E-11,Mean=1.720655588581232E-11,Stdev=0.0.","205937","Best=1.720655588581232E-11,Worst=0.12978771425839344,Mean=0.003902064904690587,Stdev=0.011929839913618233."
