# Experimental Run Fri Jan 25 06:55:20 CST 2008
Average Error Euclidean,Average Error Hamming,Average Host Diversity (AHD),Average Host Error (AHE),Best Score,Best Solution,Diversity Optima,Diversity Solution,Epoch Count,EpochLocatedOptimalScore,Evaluation Count,Last Epoch Summary,Population Diversity (PD),Population Error (PE),RMSE Euclidean,RMSE Hamming,Run Time Milliseconds,Score Summary
"0.06606155604868282","89.0","85.72767999999999","0.06863707119119031","0.05612843329923175","score[0.05612843329923175]","86.86","81.74000000000001","1000","Unsupported","1000","Epoch=1000,Best=0.06606155604868282,Worst=0.06606155604868282,Mean=0.06606155604868282,Stdev=0.0.","763.9200000000001","0.06606155604868282","0.23051779129842193","281.9290690936286","97641","Best=0.05612843329923175,Worst=0.1788483794544527,Mean=0.09355225805398182,Stdev=0.020055919973509643."
"0.061881986576806026","93.8","86.84455999999999","0.07466144740240199","0.057269263384982796","score[0.057269263384982796]","85.58","81.22","1000","Unsupported","1000","Epoch=1000,Best=0.061881986576806026,Worst=0.061881986576806026,Mean=0.061881986576806026,Stdev=0.0.","798.66","0.061881986576806026","0.20860123880172737","297.08584617918103","97922","Best=0.057269263384982796,Worst=0.17436407371376533,Mean=0.09930371885767691,Stdev=0.020491116596540203."
"0.11363016136259144","94.8","78.53112000000002","0.10717456760737325","0.07190237149643752","score[0.07190237149643752]","86.64","79.12","1000","Unsupported","1000","Epoch=1000,Best=0.11363016136259144,Worst=0.11363016136259144,Mean=0.11363016136259144,Stdev=0.0.","868.6600000000001","0.11363016136259144","0.39652743988169836","300.67923107524405","96750","Best=0.07190237149643752,Worst=0.2198597753461192,Mean=0.11483538222123747,Stdev=0.023129632437089685."
"0.09872483223933314","93.6","87.16296","0.10130280550042417","0.06649483163503887","score[0.06649483163503887]","85.86","83.34","1000","Unsupported","1000","Epoch=1000,Best=0.09872483223933314,Worst=0.09872483223933314,Mean=0.09872483223933314,Stdev=0.0.","827.6200000000001","0.09872483223933314","0.34538548224211546","296.67490625261854","97875","Best=0.06649483163503887,Worst=0.18072910651622417,Mean=0.11311749340271844,Stdev=0.019023560603717203."
"0.08583317080054229","96.0","86.13496","0.09051311880596408","0.07169029738718664","score[0.07169029738718664]","84.9","85.30000000000001","1000","Unsupported","1000","Epoch=1000,Best=0.08583317080054229,Worst=0.08583317080054229,Mean=0.08583317080054229,Stdev=0.0.","820.9400000000002","0.08583317080054229","0.3127468053457473","304.18415474840236","97500","Best=0.07169029738718664,Worst=0.20733428185588793,Mean=0.11636974081106502,Stdev=0.02374418443066679."
"0.10989428210790439","93.4","86.82847999999998","0.10071572454617912","0.06535135769242043","score[0.06535135769242043]","86.5","82.66","1000","Unsupported","1000","Epoch=1000,Best=0.10989428210790439,Worst=0.10989428210790439,Mean=0.10989428210790439,Stdev=0.0.","702.52","0.10989428210790439","0.39489216771395547","295.7093167284386","97360","Best=0.06535135769242043,Worst=0.20623382870892365,Mean=0.12242037775264744,Stdev=0.01844686763997892."
"0.08095987543195712","90.4","85.32495999999999","0.08868247162072979","0.057545388963483046","score[0.057545388963483046]","85.46","81.34","1000","Unsupported","1000","Epoch=1000,Best=0.08095987543195712,Worst=0.08095987543195712,Mean=0.08095987543195712,Stdev=0.0.","799.24","0.08095987543195712","0.32560677306651736","286.8449058289165","97718","Best=0.057545388963483046,Worst=0.20217170977586627,Mean=0.09853266983300459,Stdev=0.02377016132710234."
"0.08417334203871538","92.9","83.6996","0.0955179484478449","0.07789327066232561","score[0.07789327066232561]","86.7","80.24","1000","Unsupported","1000","Epoch=1000,Best=0.08417334203871538,Worst=0.08417334203871538,Mean=0.08417334203871538,Stdev=0.0.","693.1","0.08417334203871538","0.2954618152612317","293.9200571584049","97297","Best=0.07789327066232561,Worst=0.20552594998041446,Mean=0.11909961557562442,Stdev=0.022203785755104604."
"0.09432681012249446","94.9","84.90688000000002","0.08784819041769878","0.058673649655106595","score[0.058673649655106595]","86.64","82.74000000000001","1000","Unsupported","1000","Epoch=1000,Best=0.09432681012249446,Worst=0.09432681012249446,Mean=0.09432681012249446,Stdev=0.0.","865.4400000000002","0.09432681012249446","0.334293790360552","300.70749907509787","98094","Best=0.058673649655106595,Worst=0.18130799652616542,Mean=0.10397659232247786,Stdev=0.019717821852076132."
"0.07879727594197658","90.6","88.45456","0.07091661667985033","0.04845248196364253","score[0.04845248196364253]","85.58","82.82000000000001","1000","Unsupported","1000","Epoch=1000,Best=0.07879727594197658,Worst=0.07879727594197658,Mean=0.07879727594197658,Stdev=0.0.","689.8799999999999","0.07879727594197658","0.3009062790323703","286.86582229328053","97828","Best=0.04845248196364253,Worst=0.20347784796929477,Mean=0.09717862500653471,Stdev=0.026081563413611893."
